#logback.classic pattern: %d{yyyy:MM:dd HH:mm:ss.SSS} %-5level --- [%thread]	%logger{35} : %msg %n
2021:10:04 20:35:18.489 INFO  --- [main]	c.b.BookPartnerApplication : Starting BookPartnerApplication using Java 11 on Eojunui-MacBookPro.local with PID 24609 (/Users/eojunhwang/study/projects/book-partner/out/production/classes started by eojunhwang in /Users/eojunhwang/study/projects/book-partner) 
2021:10:04 20:35:18.492 INFO  --- [main]	c.b.BookPartnerApplication : The following profiles are active: default 
2021:10:04 20:35:18.492 DEBUG --- [main]	o.s.boot.SpringApplication : Loading source class com.bookpartner.BookPartnerApplication 
2021:10:04 20:35:18.525 DEBUG --- [main]	o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1804f60d 
2021:10:04 20:35:18.542 DEBUG --- [main]	o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' 
2021:10:04 20:35:18.553 DEBUG --- [main]	o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory' 
2021:10:04 20:35:18.595 DEBUG --- [main]	o.s.c.a.ClassPathBeanDefinitionScanner : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/common/CustomAuthenticationProvider.class] 
2021:10:04 20:35:18.596 DEBUG --- [main]	o.s.c.a.ClassPathBeanDefinitionScanner : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/common/CustomPasswordEncoder.class] 
2021:10:04 20:35:18.599 DEBUG --- [main]	o.s.c.a.ClassPathBeanDefinitionScanner : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/common/UserDetailsServiceImpl.class] 
2021:10:04 20:35:18.601 DEBUG --- [main]	o.s.c.a.ClassPathBeanDefinitionScanner : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/config/QuerydslConfig.class] 
2021:10:04 20:35:18.606 DEBUG --- [main]	o.s.c.a.ClassPathBeanDefinitionScanner : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/config/SecurityConfig.class] 
2021:10:04 20:35:18.608 DEBUG --- [main]	o.s.c.a.ClassPathBeanDefinitionScanner : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/service/AdminPartnerService.class] 
2021:10:04 20:35:18.612 DEBUG --- [main]	o.s.c.a.ClassPathBeanDefinitionScanner : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/web/controller/AdminPartnerController.class] 
2021:10:04 20:35:19.038 DEBUG --- [main]	o.s.b.f.s.DefaultListableBeanFactory : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages' 
2021:10:04 20:35:19.038 DEBUG --- [main]	o.s.b.a.AutoConfigurationPackages : @EnableAutoConfiguration was declared on a class in the package 'com.bookpartner'. Automatic @Repository and @Entity scanning is enabled. 
2021:10:04 20:35:19.093 INFO  --- [main]	o.s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode. 
2021:10:04 20:35:19.102 DEBUG --- [main]	o.s.d.r.c.RepositoryConfigurationDelegate : Scanning for JPA repositories in packages com.bookpartner. 
2021:10:04 20:35:19.110 DEBUG --- [main]	o.s.d.r.c.RepositoryComponentProvider : Identified candidate component class: file [/Users/eojunhwang/study/projects/book-partner/out/production/classes/com/bookpartner/domain/AdminPartnerRepository.class] 
